pressure14_063,temperature14_063,k,o,r
1.301839999999999918e+03,4.897859999999999658e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.302359999999999900e+03,4.908430000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.303829999999999927e+03,4.922060000000000102e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.309390000000000100e+03,4.950199999999999712e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.318980000000000018e+03,5.001870000000000260e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.328190000000000055e+03,5.068010000000000126e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.336089999999999918e+03,5.143430000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.347880000000000109e+03,5.233579999999999899e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.365650000000000091e+03,5.339339999999999975e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.376849999999999909e+03,5.454930000000000057e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.384039999999999964e+03,5.584190000000000431e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.395829999999999927e+03,5.732219999999999871e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.398109999999999900e+03,5.902689999999999770e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.393740000000000009e+03,6.095760000000000289e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.388160000000000082e+03,6.296050000000000146e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.378809999999999945e+03,6.481419999999999959e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.394559999999999945e+03,6.730419999999999625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.383420000000000073e+03,6.905120000000000147e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.398549999999999955e+03,7.132419999999999760e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.397670000000000073e+03,7.317929999999999602e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.407359999999999900e+03,7.540680000000000049e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.405710000000000036e+03,7.722550000000000026e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.417640000000000100e+03,7.954349999999999810e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.422789999999999964e+03,8.145939999999999515e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.426619999999999891e+03,8.303150000000000475e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.428670000000000073e+03,8.438430000000000319e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.422089999999999918e+03,8.537570000000000547e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425640000000000100e+03,8.652110000000000412e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.441150000000000091e+03,8.718989999999999796e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.444670000000000073e+03,8.779479999999999507e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.437410000000000082e+03,8.834609999999999630e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.431789999999999964e+03,8.876219999999999999e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.427390000000000100e+03,8.905799999999999272e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.426269999999999982e+03,8.914910000000000778e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.445039999999999964e+03,8.906810000000000116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.458829999999999927e+03,8.884959999999999525e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.459130000000000109e+03,8.860250000000000625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.454630000000000109e+03,8.840559999999999974e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.384650000000000091e+03,8.809509999999999508e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.378430000000000064e+03,8.789030000000000342e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.365900000000000091e+03,8.734650000000000247e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.352299999999999955e+03,8.699500000000000455e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.355789999999999964e+03,8.716450000000000031e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.497799999999999955e+03,8.638949999999999463e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.432519999999999982e+03,8.470769999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.347240000000000009e+03,8.532830000000000581e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.349410000000000082e+03,8.443839999999999790e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.428069999999999936e+03,8.523680000000000589e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.327700000000000045e+03,8.500640000000000640e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.249299999999999955e+03,8.650520000000000209e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.224430000000000064e+03,8.642450000000000188e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.209910000000000082e+03,8.651229999999999976e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.192650000000000091e+03,8.651699999999999946e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.164829999999999927e+03,8.611549999999999372e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.133579999999999927e+03,8.538729999999999265e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.111690000000000055e+03,8.533849999999999270e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.091759999999999991e+03,8.544629999999999725e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075210000000000036e+03,8.560790000000000788e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.049420000000000073e+03,8.569520000000000692e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.039539999999999964e+03,8.576679999999999637e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.020559999999999945e+03,8.570999999999999730e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.918410000000000082e+02,8.554080000000000794e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.996989999999999554e+02,8.548539999999999139e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.692690000000000055e+02,8.523609999999999687e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.935910000000000082e+02,8.525909999999999656e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.777079999999999700e+02,8.506600000000000605e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.732789999999999964e+02,8.497199999999999420e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.720470000000000255e+02,8.490650000000000475e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.638120000000000118e+02,8.477479999999999905e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.521169999999999618e+02,8.463990000000000791e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.457870000000000346e+02,8.459339999999999193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.281029999999999518e+02,8.454219999999999402e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.057780000000000200e+02,8.456300000000000594e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.937699999999999818e+02,8.482100000000000861e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.917369999999999663e+02,8.535280000000000200e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.733519999999999754e+02,8.589719999999999800e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.632849999999999682e+02,8.663230000000000430e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.589489999999999554e+02,8.748989999999999156e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.453479999999999563e+02,8.826029999999999376e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.350180000000000291e+02,8.903109999999999857e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.246319999999999482e+02,8.971330000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.140610000000000355e+02,9.035669999999999646e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.975240000000000009e+02,9.094670000000000698e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.908799999999999955e+02,9.154400000000000759e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.840410000000000537e+02,9.208859999999999602e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.767799999999999727e+02,9.256500000000000838e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.691130000000000564e+02,9.295680000000000831e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.600679999999999836e+02,9.323489999999999611e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.504769999999999754e+02,9.334949999999999193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.406929999999999836e+02,9.333209999999999340e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.305299999999999727e+02,9.323159999999999670e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.201430000000000291e+02,9.310140000000000526e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.099310000000000400e+02,9.300169999999999604e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.999360000000000355e+02,9.298999999999999488e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.898490000000000464e+02,9.309380000000000877e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.794180000000000064e+02,9.323689999999999145e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.689180000000000064e+02,9.341699999999999449e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.584529999999999745e+02,9.364959999999999951e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.484579999999999700e+02,9.394640000000000768e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.387229999999999563e+02,9.431129999999999569e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.299790000000000418e+02,9.476169999999999760e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.220000000000000000e+02,9.532270000000000465e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.144260000000000446e+02,9.601969999999999672e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.073419999999999845e+02,9.681670000000000442e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.007229999999999563e+02,9.767070000000000363e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.947630000000000337e+02,9.854070000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.895979999999999563e+02,9.938579999999999970e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.853469999999999800e+02,1.001619999999999955e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.822980000000000018e+02,1.008919999999999995e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.806770000000000209e+02,1.016389999999999993e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.799529999999999745e+02,1.023780000000000001e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.799640000000000555e+02,1.030869999999999997e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.802259999999999991e+02,1.037379999999999924e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.806109999999999900e+02,1.043050000000000033e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.804700000000000273e+02,1.047560000000000002e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.803700000000000045e+02,1.050639999999999930e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.806059999999999945e+02,1.052369999999999983e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.810819999999999936e+02,1.053170000000000073e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.816580000000000155e+02,1.053459999999999930e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.821470000000000482e+02,1.053640000000000043e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.822630000000000337e+02,1.054129999999999967e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.811760000000000446e+02,1.055300000000000082e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.753690000000000282e+02,1.056760000000000055e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.674909999999999854e+02,1.058300000000000018e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.583540000000000418e+02,1.059909999999999997e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.301059999999999945e+03,4.787679999999999936e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.301390000000000100e+03,4.672609999999999708e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.302420000000000073e+03,4.711219999999999963e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.310720000000000027e+03,4.772289999999999921e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.320380000000000109e+03,4.848519999999999719e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.329099999999999909e+03,4.940159999999999663e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.339180000000000064e+03,5.048420000000000130e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.351460000000000036e+03,5.169380000000000308e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.364660000000000082e+03,5.298239999999999839e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.376809999999999945e+03,5.434129999999999683e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.383250000000000000e+03,5.586879999999999846e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
